name,date,amount,category,account,payment_method,vendor,project,location,description,tags,items
Agree those how smile.,2025-10-28,1850.63,Rent,Global IME,Cash,Smith-Flores,Cultivate Synergistic Solutions,Hallland,Relationship produce politics financial leg.,"[""rise"", ""society""]","[{""itemname"": ""Energy"", ""quantity"": 2, ""unitprice"": 688.5, ""total"": 1377.0}, {""itemname"": ""Character"", ""quantity"": 1, ""unitprice"": 473.63, ""total"": 473.63}]"
During generation.,2025-10-16,11715.93,Education,Nabil Bank,Card,Roberts-Lee,Seize Back-End Web Services,East Jorge,Low challenge reality.,"[""defense"", ""process"", ""war""]","[{""itemname"": ""Themselves"", ""quantity"": 4, ""unitprice"": 1508.89, ""total"": 6035.56}, {""itemname"": ""Stand"", ""quantity"": 2, ""unitprice"": 608.39, ""total"": 1216.78}, {""itemname"": ""Law"", ""quantity"": 1, ""unitprice"": 1031.07, ""total"": 1031.07}, {""itemname"": ""Throughout"", ""quantity"": 2, ""unitprice"": 1716.26, ""total"": 3432.52}]"
Teacher can financial notice.,2025-12-04,14259.76,Utilities,Khalti,Card,"Savage, Hobbs and Abbott",Cultivate E-Business Initiatives,Port Leroy,Exist discover black cover red.,[],"[{""itemname"": ""Positive"", ""quantity"": 4, ""unitprice"": 637.4, ""total"": 2549.6}, {""itemname"": ""Red"", ""quantity"": 4, ""unitprice"": 1953.42, ""total"": 7813.68}, {""itemname"": ""Some"", ""quantity"": 4, ""unitprice"": 974.12, ""total"": 3896.48}]"
Anything.,2025-06-18,7413.2,Entertainment,Khalti,Card,Bernard and Sons,Drive E-Business Eyeballs,South Kimberly,Couple always wind decide board job loss.,[],"[{""itemname"": ""Toward"", ""quantity"": 4, ""unitprice"": 1189.02, ""total"": 4756.08}, {""itemname"": ""On"", ""quantity"": 4, ""unitprice"": 664.28, ""total"": 2657.12}]"
Low answer name gas.,2026-01-02,5508.42,Transport,eSewa,Card,James Inc,Unleash Magnetic Interfaces,East Alyssafort,Watch mouth crime everybody staff defense life lay.,[],"[{""itemname"": ""Fly"", ""quantity"": 3, ""unitprice"": 1836.14, ""total"": 5508.42}]"
Bed animal history.,2025-10-13,14863.58,Transport,Cash,Cash,Mcdonald and Sons,Harness Killer Functionalities,South Aimee,His art arm spend maybe.,"[""natural"", ""trial""]","[{""itemname"": ""Finally"", ""quantity"": 3, ""unitprice"": 1488.43, ""total"": 4465.29}, {""itemname"": ""Enough"", ""quantity"": 3, ""unitprice"": 1749.74, ""total"": 5249.22}, {""itemname"": ""Bring"", ""quantity"": 1, ""unitprice"": 460.47, ""total"": 460.47}, {""itemname"": ""Pressure"", ""quantity"": 5, ""unitprice"": 937.72, ""total"": 4688.6}]"
Computer page.,2025-11-27,1849.61,Health,NIC Asia,Cash,Bailey Inc,Embrace Next-Generation Architectures,Jonesland,Reflect law member lead according.,"[""none"", ""only"", ""policy""]","[{""itemname"": ""Goal"", ""quantity"": 1, ""unitprice"": 1849.61, ""total"": 1849.61}]"
Blood word indeed.,2025-05-29,4656.79,Food,NIC Asia,Card,Jones LLC,Redefine Impactful Web-Readiness,Morenoshire,Involve road accept up question simple no.,"[""organization"", ""sell"", ""visit""]","[{""itemname"": ""Business"", ""quantity"": 1, ""unitprice"": 1316.62, ""total"": 1316.62}, {""itemname"": ""Everything"", ""quantity"": 3, ""unitprice"": 1113.39, ""total"": 3340.17}]"
There investment.,2025-02-16,16330.45,Rent,Cash,Cash,"Graves, Orr and Sanchez",Generate Distributed Users,New Brandonview,Control western hold yes mind.,[],"[{""itemname"": ""Past"", ""quantity"": 1, ""unitprice"": 371.81, ""total"": 371.81}, {""itemname"": ""Wrong"", ""quantity"": 4, ""unitprice"": 1222.84, ""total"": 4891.36}, {""itemname"": ""Four"", ""quantity"": 5, ""unitprice"": 170.38, ""total"": 851.9}, {""itemname"": ""Cultural"", ""quantity"": 3, ""unitprice"": 1469.71, ""total"": 4409.13}, {""itemname"": ""Prepare"", ""quantity"": 5, ""unitprice"": 1161.25, ""total"": 5806.25}]"
Really night research.,2025-05-27,9470.65,Health,Khalti,Cash,Dickson-Arnold,Seize Bleeding-Edge Content,West Tony,Lay fire team century everybody husband.,"[""ask""]","[{""itemname"": ""Man"", ""quantity"": 2, ""unitprice"": 1927.23, ""total"": 3854.46}, {""itemname"": ""Positive"", ""quantity"": 3, ""unitprice"": 877.09, ""total"": 2631.27}, {""itemname"": ""Despite"", ""quantity"": 4, ""unitprice"": 583.99, ""total"": 2335.96}, {""itemname"": ""Add"", ""quantity"": 2, ""unitprice"": 324.48, ""total"": 648.96}]"
Clear hear knowledge.,2025-07-25,22908.42,Utilities,Nabil Bank,Card,Lee PLC,Productize Synergistic Experiences,South Lisa,Well husband difficult step out send.,"[""positive"", ""agree""]","[{""itemname"": ""Loss"", ""quantity"": 5, ""unitprice"": 713.14, ""total"": 3565.7}, {""itemname"": ""Part"", ""quantity"": 3, ""unitprice"": 1062.03, ""total"": 3186.09}, {""itemname"": ""Prove"", ""quantity"": 5, ""unitprice"": 1998.27, ""total"": 9991.35}, {""itemname"": ""Budget"", ""quantity"": 4, ""unitprice"": 1541.32, ""total"": 6165.28}]"
Have claim little.,2025-03-18,15718.63,Food,Nabil Bank,Cash,Oliver-Moody,Cultivate Extensible Interfaces,Robersonfurt,Really simply hot feeling plan.,[],"[{""itemname"": ""Area"", ""quantity"": 4, ""unitprice"": 743.5, ""total"": 2974.0}, {""itemname"": ""Natural"", ""quantity"": 3, ""unitprice"": 1107.31, ""total"": 3321.93}, {""itemname"": ""Building"", ""quantity"": 3, ""unitprice"": 1419.88, ""total"": 4259.64}, {""itemname"": ""Six"", ""quantity"": 5, ""unitprice"": 393.44, ""total"": 1967.2}, {""itemname"": ""Economic"", ""quantity"": 2, ""unitprice"": 1597.93, ""total"": 3195.86}]"
Wall member.,2025-06-05,8462.66,Transport,Nabil Bank,Online,"Smith, Thompson and Rios",Deliver Sticky Infrastructures,Osbornstad,Tree member thousand center theory protect process.,[],"[{""itemname"": ""Last"", ""quantity"": 1, ""unitprice"": 594.96, ""total"": 594.96}, {""itemname"": ""National"", ""quantity"": 4, ""unitprice"": 990.91, ""total"": 3963.64}, {""itemname"": ""Commercial"", ""quantity"": 1, ""unitprice"": 289.06, ""total"": 289.06}, {""itemname"": ""Community"", ""quantity"": 5, ""unitprice"": 723.0, ""total"": 3615.0}]"
Make cold.,2025-11-20,9334.2,Transport,Nabil Bank,Card,Wilson-Robbins,Engage Extensible Metrics,Hoganburgh,Party word former.,[],"[{""itemname"": ""Baby"", ""quantity"": 2, ""unitprice"": 548.37, ""total"": 1096.74}, {""itemname"": ""Compare"", ""quantity"": 3, ""unitprice"": 1637.01, ""total"": 4911.03}, {""itemname"": ""War"", ""quantity"": 5, ""unitprice"": 470.09, ""total"": 2350.45}, {""itemname"": ""Off"", ""quantity"": 2, ""unitprice"": 487.99, ""total"": 975.98}]"
Most down ball.,2025-12-08,14292.55,Entertainment,Global IME,Cash,Ferrell-Green,Aggregate Visionary Technologies,Jameschester,Only role positive method.,[],"[{""itemname"": ""Today"", ""quantity"": 4, ""unitprice"": 1583.06, ""total"": 6332.24}, {""itemname"": ""City"", ""quantity"": 1, ""unitprice"": 1864.27, ""total"": 1864.27}, {""itemname"": ""Team"", ""quantity"": 4, ""unitprice"": 593.15, ""total"": 2372.6}, {""itemname"": ""Writer"", ""quantity"": 2, ""unitprice"": 1497.41, ""total"": 2994.82}, {""itemname"": ""Crime"", ""quantity"": 2, ""unitprice"": 364.31, ""total"": 728.62}]"
Day financial.,2025-04-14,14112.12,Entertainment,Khalti,Online,Lewis PLC,Mesh Impactful Markets,Lutzbury,Common knowledge commercial general tree final create.,"[""security"", ""again""]","[{""itemname"": ""Tv"", ""quantity"": 2, ""unitprice"": 1733.13, ""total"": 3466.26}, {""itemname"": ""Too"", ""quantity"": 1, ""unitprice"": 1826.17, ""total"": 1826.17}, {""itemname"": ""Play"", ""quantity"": 3, ""unitprice"": 111.48, ""total"": 334.44}, {""itemname"": ""Know"", ""quantity"": 4, ""unitprice"": 1948.08, ""total"": 7792.32}, {""itemname"": ""Level"", ""quantity"": 1, ""unitprice"": 692.93, ""total"": 692.93}]"
Box guess.,2025-07-29,10607.6,Food,eSewa,Cash,Wheeler-Moyer,Transition Mission-Critical Partnerships,Yoderborough,Next course low bit.,"[""nearly"", ""area"", ""near""]","[{""itemname"": ""Official"", ""quantity"": 1, ""unitprice"": 512.54, ""total"": 512.54}, {""itemname"": ""Manager"", ""quantity"": 1, ""unitprice"": 1705.5, ""total"": 1705.5}, {""itemname"": ""My"", ""quantity"": 4, ""unitprice"": 1193.06, ""total"": 4772.24}, {""itemname"": ""Half"", ""quantity"": 4, ""unitprice"": 340.93, ""total"": 1363.72}, {""itemname"": ""Scientist"", ""quantity"": 5, ""unitprice"": 450.72, ""total"": 2253.6}]"
Break check top.,2025-10-22,16214.7,Entertainment,Nabil Bank,Cheque,"Anderson, Davis and Martin",Streamline B2C Models,Allenfurt,Gas customer for especially town soldier see.,[],"[{""itemname"": ""Note"", ""quantity"": 5, ""unitprice"": 1494.43, ""total"": 7472.15}, {""itemname"": ""Significant"", ""quantity"": 5, ""unitprice"": 1748.51, ""total"": 8742.55}]"
Part traditional.,2025-11-12,8730.15,Food,Khalti,Cheque,Phillips and Sons,Transform Mission-Critical Bandwidth,Marcville,Sing own two.,"[""gun""]","[{""itemname"": ""Prepare"", ""quantity"": 3, ""unitprice"": 161.43, ""total"": 484.29}, {""itemname"": ""Present"", ""quantity"": 3, ""unitprice"": 281.94, ""total"": 845.82}, {""itemname"": ""Last"", ""quantity"": 4, ""unitprice"": 1548.23, ""total"": 6192.92}, {""itemname"": ""Point"", ""quantity"": 1, ""unitprice"": 1207.12, ""total"": 1207.12}]"
Meet agreement food speak.,2026-01-19,9531.53,Utilities,Global IME,Card,Lewis and Sons,Transition Out-Of-The-Box Vortals,Harperland,Help for chair that end.,[],"[{""itemname"": ""Late"", ""quantity"": 2, ""unitprice"": 1059.0, ""total"": 2118.0}, {""itemname"": ""Defense"", ""quantity"": 5, ""unitprice"": 200.93, ""total"": 1004.65}, {""itemname"": ""Partner"", ""quantity"": 4, ""unitprice"": 1602.22, ""total"": 6408.88}]"
Usually next.,2025-07-12,3376.92,Food,NIC Asia,Cash,Gonzalez LLC,Incentivize Cross-Media Solutions,North Stacey,Condition black difference or artist turn certainly public.,"[""shoulder"", ""eight"", ""red""]","[{""itemname"": ""Spring"", ""quantity"": 4, ""unitprice"": 280.26, ""total"": 1121.04}, {""itemname"": ""Wide"", ""quantity"": 2, ""unitprice"": 422.3, ""total"": 844.6}, {""itemname"": ""Knowledge"", ""quantity"": 1, ""unitprice"": 1411.28, ""total"": 1411.28}]"
Base manage.,2025-08-21,20534.12,Utilities,Cash,Cash,Lawrence-Bennett,Disintermediate Visionary Action-Items,Anthonytown,Development million they contain maybe front worry.,"[""remain"", ""rich"", ""treatment""]","[{""itemname"": ""Including"", ""quantity"": 4, ""unitprice"": 509.75, ""total"": 2039.0}, {""itemname"": ""Hold"", ""quantity"": 1, ""unitprice"": 875.17, ""total"": 875.17}, {""itemname"": ""Reality"", ""quantity"": 5, ""unitprice"": 764.27, ""total"": 3821.35}, {""itemname"": ""Under"", ""quantity"": 5, ""unitprice"": 1887.77, ""total"": 9438.85}, {""itemname"": ""Factor"", ""quantity"": 3, ""unitprice"": 1453.25, ""total"": 4359.75}]"
Able soldier notice.,2025-03-20,14163.73,Utilities,Khalti,Cheque,"Rasmussen, Cruz and Rose",Harness Efficient Architectures,Bennettfurt,Song consumer end whole.,"[""pass""]","[{""itemname"": ""Change"", ""quantity"": 5, ""unitprice"": 1788.26, ""total"": 8941.3}, {""itemname"": ""Computer"", ""quantity"": 3, ""unitprice"": 1740.81, ""total"": 5222.43}]"
Fight movement whose majority.,2025-12-29,5023.02,Transport,Khalti,Cheque,"Hansen, Walker and Gordon",Streamline Proactive Functionalities,Turnerland,Yeah a last song and current face.,"[""enjoy"", ""our""]","[{""itemname"": ""Determine"", ""quantity"": 2, ""unitprice"": 1307.87, ""total"": 2615.74}, {""itemname"": ""He"", ""quantity"": 4, ""unitprice"": 601.82, ""total"": 2407.28}]"
Bad federal.,2025-06-21,3054.56,Education,Cash,Online,"Velasquez, Sanchez and Conrad",Drive User-Centric Roi,Thomasstad,Product need type young success by car suggest.,"[""long"", ""heavy""]","[{""itemname"": ""Behind"", ""quantity"": 2, ""unitprice"": 1527.28, ""total"": 3054.56}]"
